nitrate_mid,phosphate_mid,avg_spills,n_overflows,spills_per_pipe,lc_woodland_1km,lc_arable_1km,lc_grass_1km,lc_wetland_1km,lc_urban_1km,lc_water_1km,lc_woodland_5km,lc_arable_5km,lc_grass_5km,lc_wetland_5km,lc_urban_5km,lc_water_5km
7.5,0.01,0.27,2.0,0.5,8.953140578265204,5.643070787637089,29.67098703888335,0.0,55.73280159521436,0.0,19.34049116430331,43.426034418167184,31.983866982312662,0.0,5.236056975696853,0.0135504595199948
7.5,0.035,0.27,2.0,0.5,9.89842660824537,9.878510256920933,26.82732523401713,0.0,53.39573790081658,0.0,19.79962060225407,43.09352632669653,31.879772361352444,0.0,5.213530790199423,0.0135499194975371
7.5,0.01,0.27,2.0,0.5,8.85748407643312,8.30015923566879,28.24442675159236,0.0,54.59792993630573,0.0,19.525745257452577,43.283118125298905,31.954407779371916,0.0,5.223178702375259,0.013550135501355
7.5,0.035,0.27,2.0,0.5,10.33313385198484,1.994813484939158,28.904847396768403,0.0,58.7672052663076,0.0,19.2652286894001,43.65584198192166,31.817239785100515,0.0,5.248138760023594,0.0135507835541313
0.1,0.01,0.27,2.0,0.5,12.026326286398085,9.672915835660152,23.37455125648185,0.0,54.92620662145992,0.0,19.443470220635124,45.1895485269736,30.134868001530418,0.0,5.218562683331208,0.0135505675296518
10.0,0.01,30.245,2.0,33.0,48.20574162679426,2.4322169059011167,39.05502392344498,0.0,10.307017543859647,0.0,25.347925202059653,11.685982559900523,47.58963158985477,0.0,14.63278547402318,0.5452023784852301
7.5,0.01,30.245,2.0,33.0,48.20574162679426,2.4322169059011167,39.05502392344498,0.0,10.307017543859647,0.0,25.347925202059653,11.685982559900523,47.58963158985477,0.0,14.63278547402318,0.5452023784852301
7.5,0.035,30.245,2.0,33.0,48.20574162679426,2.4322169059011167,39.05502392344498,0.0,10.307017543859647,0.0,25.347925202059653,11.685982559900523,47.58963158985477,0.0,14.63278547402318,0.5452023784852301
10.0,0.035,30.245,2.0,33.0,48.20574162679426,2.4322169059011167,39.05502392344498,0.0,10.307017543859647,0.0,25.347925202059653,11.685982559900523,47.58963158985477,0.0,14.63278547402318,0.5452023784852301
7.5,0.01,30.245,2.0,33.0,48.20574162679426,2.4322169059011167,39.05502392344498,0.0,10.307017543859647,0.0,25.347925202059653,11.685982559900523,47.58963158985477,0.0,14.63278547402318,0.5452023784852301
7.5,0.01,39.4375,4.0,35.75,9.914223020147617,0.0,36.80430879712747,0.0,51.54598045082784,1.7354877318970678,18.926157377885477,20.00302895038898,36.87587680142839,0.1913021298303787,22.20459762785359,1.3749840581558477
7.5,0.075,39.4375,4.0,35.75,21.85443668993021,13.479561316051845,53.99800598205384,0.0,9.2123629112662,1.4556331006979064,17.60879961740794,26.854774430097244,36.15176151761518,0.0820978798023274,18.15718157181572,0.7604017216642754
7.5,0.075,0.0,0.0,0.0,5.258964143426296,14.8804780876494,31.633466135458164,0.8167330677290837,46.17529880478088,1.235059760956175,17.105965807197226,46.73893117602518,31.56179014067668,0.5108994540310047,3.7643964452237673,0.2972940660742039
